filename,logit,time
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00000.jpeg,-9.645767,0.928668
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00001.jpeg,-15.964167,0.680393
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00002.jpeg,-9.243873,0.683766
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00003.jpeg,-4.068757,0.780450
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00004.jpeg,-8.555617,0.807411
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00005.jpeg,-5.839608,0.740891
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00006.jpeg,-8.193591,0.676401
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00007.jpeg,-13.079322,0.792331
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00008.jpeg,-6.517750,0.817076
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00009.jpeg,-4.906997,0.840213
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00010.jpeg,-10.325006,0.798369
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00011.jpeg,-3.249086,0.802994
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00012.jpeg,-2.531631,0.816508
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00013.jpeg,-10.217749,0.819930
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00014.jpeg,-9.246029,0.701672
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00015.jpeg,-5.437890,0.837275
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00016.jpeg,-9.349879,0.832071
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00017.jpeg,-4.132187,0.864420
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00018.jpeg,-12.019784,0.823685
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00019.jpeg,-3.167436,0.819451
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00020.jpeg,-13.288857,0.810138
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00021.jpeg,-2.502903,0.814789
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00022.jpeg,-14.160710,0.773259
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00023.jpeg,-9.060652,0.802795
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00024.jpeg,-12.641211,0.812751
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00025.jpeg,-3.817713,0.816462
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00026.jpeg,-11.980685,0.794899
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00027.jpeg,-12.763233,0.813711
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00028.jpeg,-6.654718,0.818253
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00029.jpeg,-7.498367,0.826879
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00030.jpeg,-5.841638,0.817834
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00031.jpeg,-7.289557,0.811574
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00032.jpeg,-5.279073,0.830171
../media-analysis-project-main/data/CNN_synth_testset/whichfaceisreal/0_real/00033.jpeg,-8.348681,0.797149
